Item,Opening Inventory(2021),Purchases (2021),Total Inventory(2021),Cost of Total Inventory,Sales Quantity(2021),Ending Inventory(2021),Average Inventory,COGS,Inventory_turnover,DSI
,,,,,,,,,,
RODE RODECaster Pro,1036,1005,2041,1785614.26,302,1739,1387.5,264211.42,190.42,1.92
Focusrite Scarlett 2i2 3G,4074,801,4875,2170203.82,199,4676,4375,88588.83,20.25,18.02
Focusrite Scarlett Solo 3G,3520,1740,5260,1074485.34,372,4888,4204,75990.22,18.08,20.19
Inovonics 635,15,73,88,50760,69,19,17,39800.45,2341.2,0.16
Zoom ZDM-1 Podcast Mic Pack,225,454,679,47103.35,551,128,176.5,38223.78,216.57,1.69
RODE PodMic,775,303,1078,140428.8,236,842,808.5,30743.23,38.03,9.6
Bird BPME1-VH,2,6,8,23347.5,7,1,1.5,20429.06,13619.37,0.03
Focusrite Scarlett 2i2 Studio 3G,855,-132,723,320036.25,46,677,766,20361.92,26.58,13.73
Inovonics 531N,50,21,71,568440,2,69,59.5,16012.39,269.12,1.36
BW Broadcast TX1000 V3,24,19,43,212988.35,3,40,32,14859.65,464.36,0.79
Inovonics 679,16,10,26,32965,10,16,16,12678.85,792.43,0.46
Barix AG M400 SIP Opus Decoder,46,36,82,21441.5,46,36,41,12028.16,293.37,1.24
SAGE ENDEC-3644,52,110,162,451751,4,158,105,11154.35,106.23,3.44
Inovonics RK-00,2,124,126,14496,91,35,18.5,10469.33,565.91,0.64
Wheatstone VoxPro-V7,52,14,66,229435.05,3,63,57.5,10428.87,181.37,2.01
RODE NT1-A,64,99,163,43920,38,125,94.5,10239.02,108.35,3.37
Focusrite Scarlett 4i4 3G,551,-60,491,147207.29,34,457,504,10193.58,20.23,18.04
RODE Wireless GO,158,317,475,88960,46,429,293.5,8615.07,29.35,12.44
GatesAir HARFAX300INT,10,-1,9,38250,2,7,8.5,8500,1000,0.36
Presonus Revelator,200,-181,19,52375,3,16,108,8269.74,76.57,4.77
Focusrite Scarlett 18i20 3G,71,127,198,99299.23,15,183,127,7522.67,59.23,6.16
Focusrite Scarlett Solo Studio 3G,431,338,769,187861.85,29,740,585.5,7084.52,12.1,30.17
